0,1,2,3,4
247,40131173001023,9,4,328.0
248,40050015003072,5,7,328.0
249,40130931061021,9,4,311.0
250,40130931061005,9,4,311.0
251,40130405392041,7,4,311.0
252,40130405392042,7,4,311.0
253,40130405392003,7,4,311.0
254,40210020041000,2,1,311.0
255,40210020041082,2,1,311.0
256,40210020041001,2,1,311.0
257,40131145003000,4,9,311.0
259,40131084004023,3,8,311.0
260,40159548024388,7,2,311.0
261,40136144003006,9,8,311.0
262,40131067021008,9,8,311.0
263,40131067013001,8,9,311.0
264,40130405391039,7,4,311.0
265,40134226253000,6,3,311.0
266,40134226253013,6,3,311.0
267,40130506193046,4,7,311.0
268,40131060021003,8,9,311.0
269,40190054001053,1,2,311.0
271,40134226602000,3,6,311.0
272,40210022001063,1,5,311.0
273,40131167281006,8,7,311.0
274,40133197071007,3,8,311.0
275,40133197071007,8,7,311.0
276,40131167091000,7,8,311.0
277,40130405354041,7,9,311.0
278,40131166112077,8,7,311.0
279,40131166112075,8,7,311.0
281,40219413001025,2,7,311.0
282,40134202081013,3,6,311.0
287,40134207042002,6,3,311.0
289,40133199034014,6,3,311.0
295,40131050032013,3,8,311.0
296,40132168402017,3,8,311.0
297,40132168402018,3,8,311.0
298,40132168402018,8,5,311.0
299,40132168402016,3,8,311.0
300,40132168402016,8,5,311.0
301,40132168401025,3,8,311.0
302,40210003251037,3,6,311.0
303,40210003251023,3,6,311.0
304,40134208004014,6,3,311.0
305,40134205042032,3,6,311.0
306,40130405362001,4,9,311.0
307,40131113004000,3,8,311.0
308,40131067031000,9,8,311.0
309,40131067021018,9,8,311.0
315,40190006004000,5,1,311.0
320,40190018011003,1,5,311.0
321,40190043101019,2,1,311.0
322,40190043101023,2,1,311.0
325,40131166101023,4,7,311.0
327,40130927212011,9,4,311.0
328,40137233041268,7,2,311.0
329,40134202023042,3,6,311.0
331,40132168302013,3,8,311.0
332,40134226602002,3,6,311.0
333,40131101003003,4,9,311.0
334,40210008021218,1,2,311.0
335,40210008021219,1,2,311.0
336,40134226511000,6,3,311.0
337,40210003191000,6,1,311.0
338,40210003191002,6,1,311.0
339,40210003161051,1,6,311.0
340,40131042264016,8,9,311.0
342,40210023001019,1,5,311.0
343,40131039004025,8,9,311.0
344,40131044022011,8,9,311.0
345,40134226522000,6,3,311.0
346,40134226522001,6,3,311.0
347,40050015002084,5,7,311.0
348,40050015002085,5,7,311.0
349,40050015003065,5,7,311.0
350,40190054001005,1,2,311.0
351,40190054001006,1,2,311.0
352,40159532001023,7,2,311.0
353,40159532001024,7,2,311.0
354,40159532001016,7,2,311.0
355,40250016053053,5,7,311.0
357,40190054001012,1,2,311.0
361,40134226513010,3,6,311.0
362,40130405361001,4,9,311.0
363,40130506115000,7,4,311.0
364,40134222123015,3,6,311.0
365,40136100011001,8,7,311.0
366,40130609022008,9,4,311.0
367,40210003251036,3,6,311.0
368,40210003242028,3,6,311.0
369,40131032052021,3,8,311.0
370,40131163003018,3,8,311.0
372,40190004011006,2,1,311.0
373,40190043101024,2,1,311.0
377,40190046141000,1,5,311.0
379,40139410002000,7,6,311.0
380,40210019001112,2,1,311.0
381,40131127003000,4,9,311.0
382,40131167132000,7,6,311.0
383,40131166053002,7,4,311.0
384,40131166053000,7,4,311.0
385,40134226602001,3,6,311.0
386,40130609034000,9,4,311.0
387,40130405392000,7,4,311.0
388,40131166123005,8,4,311.0
390,40210008021300,1,2,311.0
391,40130927212008,9,4,311.0
392,40130405383024,4,9,311.0
393,40219413001026,2,7,311.0
394,40050015003062,5,7,311.0
395,40250014011040,5,7,311.0
404,40190024001024,5,2,311.0
406,40190024003032,2,5,311.0
407,40131144022041,9,8,311.0
408,40130405064030,4,9,311.0
409,40134222232008,3,6,311.0
410,40136144003005,9,8,311.0
411,40136144003009,9,8,311.0
413,40138173001000,6,1,311.0
416,40190004012034,1,2,311.0
418,40190022021028,1,2,311.0
420,40131084005001,8,3,311.0
421,40131084005003,8,3,311.0
423,40138160011020,6,1,311.0
424,40050015002076,5,7,311.0
425,40130610592000,4,7,311.0
426,40130610592004,4,7,311.0
427,40136107004007,8,5,300.0
429,40138134004026,1,2,300.0
430,40138134004024,1,2,300.0
431,40130101043000,3,5,300.0
432,40134210011016,3,6,300.0
433,40134214004001,6,3,300.0
435,40131041001000,9,8,300.0
436,40130609034013,9,4,300.0
437,40130609034002,9,4,300.0
438,40130506031249,2,7,300.0
439,40137233061173,2,7,300.0
440,40190020001021,5,1,300.0
441,40190020001022,5,1,300.0
442,40190020004040,1,5,300.0
445,40190041182000,2,5,300.0
446,40159534052032,2,7,300.0
447,40136112002015,9,8,300.0
448,40132168301029,3,8,300.0
449,40133199101017,7,6,300.0
450,40138160032009,1,6,300.0
451,40130405391009,7,4,300.0
452,40137233061002,2,7,300.0
453,40137233061003,2,7,300.0
454,40136163001038,9,8,300.0
456,40210003191083,6,1,300.0
457,40210003071006,3,5,300.0
458,40210003071021,3,5,300.0
459,40250015012006,5,7,300.0
460,40190044301016,2,1,300.0
