tract,pop,p_dem,p_rep,G18USSDSIN,G18GOVDGAR,G18SOSDHOB,G18ATGDCON,G18TREDMAN,G18SPIDHOF,G18MNIDPIE,G20PREDBID,G20USSDKEL,G18USSRMCS,G18GOVRDUC,G18SOSRGAY,G18ATGRBRN,G18TRERYEE,G18SPIRRIG,G18MNIRHAR,G20PRERTRU,G20USSRMCS
4013105900,5991,803.048832650759,546.7335651333693,776.1625853936816,641.7710843662549,764.4372936300658,714.8745351752408,685.2858758561193,770.5019798759461,712.1527981860775,1065.0866602808887,1097.1666810925562,452.7272737910625,583.2047711369775,474.9588835989833,520.413957648684,542.2080481666211,459.2394670729691,484.166106843091,712.4533070175389,691.2302709243968
4013106001,1843,228.60406450909494,130.76623920423472,212.34233862815395,177.48528359220478,209.54286445783876,197.9324111535355,189.20655348804598,208.9911174204255,196.807551016705,329.5643177313268,335.56414309361816,106.11895388737742,139.03270052172277,112.88515170932898,123.19850879904553,129.00006018102408,109.00087082639766,114.3214383382865,173.79061856751554,169.54785000741393
4013106002,3039,373.56335530915993,202.68095095395063,343.10555888522623,287.32529217860355,339.2350913994606,321.4764758765358,305.53925681750076,337.18602037758467,318.7443811807012,550.289406652682,559.1687144141445,163.01498351813007,215.60780641294576,174.1710368594546,189.65290680251724,199.89826191189692,168.0238237938268,176.22010788133053,272.0710967935271,265.4685346119269
4013106003,3628,445.9650717544035,241.96330702893482,409.60413545100386,343.01288582559187,404.98351813005695,383.78303865747677,364.7569673359305,402.53730896014383,380.521426430926,656.9430626311058,667.5433023673959,194.60952951753072,257.39556487863354,207.92777944261312,226.41024872640097,238.64129457596644,200.58915193287385,210.37398861252623,324.80221756068323,316.9199880131855
4013106100,5788,1634.9579800958347,1103.7604537822008,1685.4224106155548,1355.3833394765943,1638.840766678953,1429.4493180980464,1348.6081828234426,1615.7110210099522,1412.8352377441947,2110.460375967564,2117.9111684482123,937.699963140435,1253.867674161445,968.1518614080353,1159.3497972723922,1205.770364909694,914.7637301879838,1040.1216365646885,1216.4460007371913,1237.6730556579432
4013106200,3498,1172.8143658222032,1012.6714059575002,1223.3496126177463,980.6098841439285,1210.7361936308241,1041.0678648641995,974.6655345047277,1170.8906246822066,1013.0967564474802,1483.8341545261442,1457.0786669825718,918.7935024936405,1137.8194023148378,903.7929595019356,1067.8987506462913,1106.1364598724938,892.4250403831682,982.4567758264054,1024.5101948097592,1080.2095677689686
4013106300,5393,1599.4590136895927,930.7246137775578,1614.3028203859476,1369.0133597229094,1583.0197921820882,1457.9505195447798,1361.3498268184069,1544.073231073726,1362.252350321623,2044.7308263236023,2058.438396833251,775.698664027709,1005.4220682830281,802.9816922315686,914.0069272637309,986.3780306778823,784.8936170212766,875.4408708560119,1114.208312716477,1117.4913409203364
4013106400,2996,933.0972050389089,654.964328460401,948.3270958098403,788.5257432709432,917.6881663920303,854.9977893692878,786.9218217113812,900.9503314200851,828.0010436895201,1182.3497583263888,1190.1130953607035,568.7204918518163,719.4793092101004,590.4229036941099,646.4456619376414,689.732137423661,561.7633755763142,602.062441971069,755.5009849234812,760.5516495554158
4013106501,3346,925.1244560473168,667.5646402746854,937.5080030708609,777.864194860425,901.2255503804048,831.4538299229562,777.5546879570645,878.8460378159807,798.1140669000367,1203.1665356994174,1220.387197818705,571.6466434527571,722.8348740552293,585.9246159045083,659.2920730129304,687.8900075772899,565.2892141239629,603.2422956917977,806.7035699747131,805.2584686789805
4013106502,3652,1099.3610589918956,607.0388556783067,1089.944537739848,927.1343328605601,1069.9851600501652,1000.3916558971788,927.8904284853513,1049.2219081587714,956.7412246960062,1425.448567326811,1447.491715712369,509.86583778182455,657.9165643931043,533.42498834417,592.7228963872865,640.6890393634033,500.2422129245213,554.5122812176173,740.9217933817604,733.0540873110735
4013106600,3916,1144.3488121739356,842.6825107880762,1176.4834805580142,965.6116055118088,1127.961241999486,1030.6971480071963,953.6715287284125,1111.139035412475,973.852241709481,1481.0112092664208,1478.7118183721245,725.4634379916452,925.9249374997765,746.452304120056,845.1710788654397,894.8497842310153,721.0433383069081,792.2047999638199,957.52829226722,975.5046238468058
4013106701,4556,988.6793112394686,522.0863818224025,955.2090451026177,821.3901929458032,944.0108147966081,890.259309327762,830.3487771906108,924.9738232763917,862.8236450780386,1328.1101142927369,1340.9880791446478,444.0098316332801,564.9507189381836,470.8855843677031,520.7177092294457,555.4322231780754,451.28868133218634,492.1622219491213,597.4255868256114,601.9048789480153
4013106702,1277,277.1166550598774,146.3354498654978,267.7352832739339,230.22723362418583,264.5965343492688,249.53053951087625,232.7382327639179,259.2606611773381,241.84060464544672,372.25562246528204,375.8651837286469,124.45139486297163,158.3498832493548,131.98439228216787,145.95182499692763,155.68194666338945,126.49158166400393,137.9480152390316,167.45225513088363,168.70775470074966
