0,1,2,3,4
355,40130405321042,2,9,162.0
356,40136134001013,9,2,162.0
357,40131051011019,9,3,162.0
358,40190007002008,4,7,162.0
360,40250016052024,7,2,162.0
361,40136112002015,2,9,162.0
362,40136140003000,2,9,162.0
363,40131125192020,8,6,162.0
364,40210013102020,5,6,162.0
365,40130610573014,8,6,162.0
366,40250015012006,7,2,162.0
367,40190044301016,6,7,162.0
368,40190026041004,4,7,162.0
369,40190014001012,7,4,162.0
370,40190045152000,4,7,162.0
371,40134210012000,1,3,162.0
374,40131034001004,9,3,162.0
375,40250015011013,7,2,162.0
376,40190046491039,7,4,162.0
377,40190046491041,7,4,162.0
378,40134226491014,5,1,162.0
379,40130506203001,6,2,162.0
380,40130612004007,8,6,162.0
381,40210003162009,5,7,162.0
382,40133199031008,1,5,162.0
383,40190044231054,4,6,162.0
385,40131166123030,8,5,162.0
386,40131166112027,5,8,162.0
387,40130610481010,8,6,162.0
388,40131049002005,9,3,162.0
389,40136138001005,9,2,162.0
390,40130610152008,6,8,162.0
391,40190004011007,7,4,162.0
393,40250015012107,7,2,162.0
394,40250014011060,2,7,162.0
395,40250015012112,7,2,162.0
396,40250014011059,2,7,162.0
397,40250014011051,2,7,162.0
398,40250014011056,2,7,162.0
399,40190007002020,4,7,162.0
400,40190007002001,4,7,162.0
403,40130405261001,2,8,157.0
404,40130405261004,2,8,157.0
405,40130405261008,2,8,157.0
406,40130405262028,8,2,157.0
407,40134201081001,3,7,157.0
410,40210003122000,1,7,157.0
413,40136147002000,9,3,157.0
414,40131088022003,5,9,157.0
415,40131167251016,5,6,157.0
416,40131167251015,5,6,157.0
417,40131167273010,5,6,157.0
418,40134222111008,1,5,157.0
420,40190046103018,4,7,157.0
421,40250015012166,7,2,157.0
422,40190045081008,7,4,157.0
423,40131071022005,9,8,157.0
424,40131071011013,9,8,157.0
425,40130506203166,6,8,157.0
427,40131076021015,9,3,157.0
428,40130927182000,8,9,157.0
430,40136124022004,3,2,157.0
432,40210003161052,7,5,157.0
434,40131130001011,5,8,157.0
435,40131132042011,3,5,157.0
436,40190007002007,4,7,157.0
437,40250014011055,2,7,157.0
438,40250014011057,2,7,157.0
439,40190045051012,7,4,142.0
440,40050015003083,7,2,142.0
441,40050015003084,7,2,142.0
442,40131117001012,5,3,142.0
443,40131036071013,9,3,142.0
444,40136122002015,2,3,142.0
445,40134201042012,1,7,142.0
446,40134201042010,1,7,142.0
447,40130405152046,6,2,134.0
448,40131085011004,5,3,134.0
449,40131107011000,5,3,134.0
450,40131133013001,5,3,134.0
451,40131133014016,3,5,134.0
452,40210013101001,6,5,134.0
453,40131167142019,5,6,134.0
454,40131146001009,8,6,134.0
455,40190046491038,7,4,134.0
456,40190014002003,7,4,134.0
457,40190004021022,7,4,134.0
458,40136168004013,9,3,134.0
459,40131076021016,9,3,134.0
460,40131085011000,5,3,134.0
461,40131107021005,3,5,134.0
462,40130927212003,9,8,134.0
463,40130405393021,2,6,134.0
464,40130101031000,3,7,134.0
465,40130101031001,3,7,134.0
466,40134201163019,1,7,134.0
467,40134201163020,1,7,134.0
468,40134201163021,1,7,134.0
469,40210012001156,5,7,134.0
471,40132168302015,3,9,134.0
472,40132168302014,3,9,134.0
473,40135229011000,5,1,134.0
476,40135229011021,5,1,134.0
477,40130405064000,8,2,134.0
478,40134211013000,1,3,134.0
479,40190044182015,7,4,134.0
480,40190004012035,4,7,134.0
481,40190004012036,4,7,134.0
482,40250016053029,7,2,134.0
483,40190014002016,7,4,134.0
484,40134201113022,7,1,134.0
485,40131163003017,8,5,134.0
486,40131047022010,3,9,134.0
491,40130405241023,2,8,134.0
493,40130610153001,6,8,125.0
494,40136114002003,9,2,125.0
495,40210003241028,7,1,125.0
496,40210010002099,5,7,125.0
497,40131146001010,8,6,125.0
498,40131166061002,8,6,125.0
500,40190026041010,4,7,125.0
501,40190026041011,4,7,125.0
502,40190034004032,7,4,125.0
503,40190034004031,7,4,125.0
504,40131074031001,8,9,125.0
505,40133190022055,3,5,125.0
506,40133190022049,3,5,125.0
507,40133190022052,3,5,125.0
508,40136190002016,3,9,118.0
509,40136190002015,3,9,118.0
510,40133199054000,5,1,118.0
511,40210019001107,6,7,118.0
512,40210002012144,7,5,118.0
513,40210002012133,7,5,118.0
514,40131138004020,3,5,118.0
515,40190040442031,7,4,118.0
516,40190040442030,7,4,118.0
517,40130830003001,6,8,118.0
518,40131063002010,3,9,118.0
520,40130506203168,6,8,118.0
521,40136107004001,2,7,118.0
522,40130927171010,9,8,118.0
523,40134201053010,7,3,118.0
524,40190004021017,7,4,118.0
525,40190040764000,4,7,118.0
526,40190020002020,7,4,118.0
527,40190040763000,4,7,118.0
528,40190040761014,7,4,118.0
529,40131088022004,5,9,118.0
530,40130304023075,7,3,118.0
531,40210023001129,7,5,118.0
532,40131117003001,3,5,96.0
533,40050015002077,7,2,96.0
535,40131146001008,8,6,96.0
538,40136125002001,3,7,96.0
540,40190044182005,7,4,96.0
541,40190044182002,7,4,96.0
542,40190044182001,7,4,96.0
543,40190020005012,4,7,96.0
545,40190026043002,4,7,96.0
546,40190004012028,4,7,96.0
548,40130931011007,9,8,96.0
549,40130931011006,9,8,96.0
551,40130610573000,8,6,96.0
553,40210013051035,5,6,96.0
554,40130405163015,6,2,96.0
557,40130304023079,7,3,96.0
558,40130304023078,7,3,96.0
560,40131036061013,9,3,96.0
561,40131132022014,8,5,96.0
562,40131132022013,8,5,96.0
563,40131132022012,8,5,96.0
564,40130506192033,6,8,96.0
565,40136174003018,9,8,96.0
566,40190044313024,6,4,96.0
567,40190004011034,7,4,96.0
569,40131130001010,5,8,96.0
570,40210013054015,5,6,96.0
571,40250015012167,7,2,96.0
572,40250015012162,7,2,96.0
574,40250016053030,7,2,96.0
575,40190026031004,7,4,96.0
576,40190045121010,7,4,96.0
577,40131135032021,3,5,96.0
579,40136136022018,9,2,96.0
580,40210008021244,7,6,96.0
581,40131117002022,5,3,96.0
