map_id,eps,L,number_of_majority_minority_dists_needed,#iterations,#iterations_no_improvement,percentage_depreciation_in_compactness,time_vickrey,time_VRA,time_compactness,time_uncoarsening,time_cmpttveness,total_time,n_restarts,opt_effgap,passymetry_opt,max_margin,#competitive,majmin,compactness,pop_bal*P_bar
18,0.01,1,2,10000,500,0.2,1.382515907,3.20714426,248.53232,229.9716628,138.6517289,621.7453718,1,0.069637525,0.024867498,0.228125768,7,2,5385.690519,5541.664342
18,0.01,1,2,10000,500,0.3,2.075451851,139.1946878,137.7339122,2436.898587,143.6601369,2859.562776,5,-0.036706309,0.01370772,0.24177483,7,2,5301.50165,7926.663341
18,0.01,1,2,10000,500,0.1,2.071311951,2.681706905,259.926048,180.6344039,42.01330996,487.3267808,1,0.085655953,0.027108088,0.239075646,4,2,4516.624052,6320.330682
18,0.01,1,2,10000,500,0,1.298407078,17.12192297,147.271311,792.4691689,74.12034512,1032.281155,1,0.199166311,0.03526479,0.43846924,3,2,4146.617167,6752.330501
19,0.01,1,2,10000,500,0.3,1.257817984,5.837232113,222.2738018,159.0952508,258.5171711,646.9812739,1,-0.173201105,0.024105331,0.221001044,4,2,5398.747005,7631.663465
19,0.01,1,2,10000,500,0.2,2.772818804,0.84680295,164.7285221,261.4521313,187.355413,617.155688,1,0.088891395,0.019588471,0.212967627,5,2,5257.596625,7883.66336
19,0.01,1,2,10000,500,0.1,1.07102704,41.88789606,137.28861,359.1514313,55.79691386,595.1958783,2,-0.016069862,0.020788331,0.255060625,3,2,4701.3112,7429.330217
19,0.01,1,2,10000,500,0,7.54874301,16.09842491,139.8472388,231.729254,44.91285992,440.1365206,1,-0.04522154,0.027278191,0.289195408,2,2,4220.872243,7214.330307
20,0.01,1,2,10000,500,0.3,1.587581873,30.65017128,121.071599,136.5982997,137.066421,426.9740729,1,-0.033949005,0.032939511,0.229076761,3,2,5771.757267,7867.330033
20,0.01,1,2,10000,500,0.1,1.333604097,19.46088314,115.2082388,78.44064498,105.7708459,320.2142169,1,-0.025161353,0.026398606,0.258060313,3,2,5030.466289,6629.663886
20,0.01,1,2,10000,500,0,1.208655119,0.130323172,131.3268611,101.788219,55.0620389,289.5160973,1,0.094061677,0.036937532,0.331242608,1,2,4633.50698,7824.663384
20,0.01,1,2,10000,500,0.2,5.132559776,20.76037312,241.579324,276.6159952,293.129689,837.217941,1,-0.014304629,0.022836539,0.245340388,5,2,4620.21113,7937.663337
21,0.01,1,2,10000,500,0.3,4.509366989,1.859905005,86.88146091,244.474623,116.1312611,453.856617,1,0.068906243,0.01551036,0.189840455,6,2,5239.771918,7624.330135
21,0.01,1,2,10000,500,0.1,6.755584002,0.927938938,176.103617,122.045223,292.5097451,598.342108,1,0.086177783,0.025608341,0.20537452,4,2,5202.241743,7815.663388
