0,1,2,3,4
469,40130405393031,8,2,286.0
470,40131111001000,9,6,286.0
471,40130405394055,8,2,286.0
472,40130405352000,8,7,286.0
473,40130506203168,2,7,286.0
474,40131168003064,9,5,286.0
476,40137233041216,5,2,286.0
477,40130506121033,5,9,286.0
478,40135231023015,1,5,286.0
479,40138148023000,1,3,286.0
480,40138148022001,1,3,286.0
481,40159548024011,2,8,286.0
482,40159506021133,8,2,286.0
483,40130304023074,8,6,286.0
484,40130304023075,8,6,286.0
485,40130506123042,9,5,286.0
486,40210016003001,2,5,286.0
487,40210016003000,2,1,286.0
488,40190043241007,4,2,286.0
489,40190043171004,4,2,274.0
491,40130820161003,9,5,274.0
492,40130506093004,5,2,274.0
493,40130822081001,5,9,274.0
494,40138155011012,1,3,274.0
495,40131168004002,5,9,274.0
496,40210016002031,2,1,274.0
497,40130927203004,9,7,274.0
498,40130304023079,8,6,274.0
499,40130304023080,8,6,274.0
500,40130304023078,8,6,274.0
501,40131158021000,5,9,274.0
502,40131158021007,5,9,274.0
503,40190044313024,2,1,274.0
504,40190044371000,2,1,274.0
505,40190044131005,2,4,274.0
506,40131093003000,5,9,274.0
508,40137233041091,5,2,274.0
509,40130405361026,8,7,263.0
510,40131084004028,6,9,263.0
511,40210008021244,1,2,263.0
512,40131040002000,7,6,263.0
513,40130611001001,9,7,263.0
515,40159548024322,2,8,263.0
516,40133184004015,6,3,263.0
518,40136108002038,8,7,263.0
519,40130506203017,2,7,263.0
520,40130101021291,8,6,263.0
521,40138117001022,3,1,263.0
522,40138153002026,1,3,263.0
523,40131111003000,9,6,263.0
524,40131153001024,9,5,263.0
525,40134226232025,3,1,263.0
526,40190044371037,2,1,263.0
527,40134214004002,3,6,263.0
528,40131060021000,9,6,263.0
530,40130101032004,6,8,263.0
531,40219413001175,5,2,263.0
532,40190043273024,2,4,263.0
533,40131042061014,6,9,263.0
534,40130927203006,9,7,263.0
536,40131091012006,9,5,263.0
537,40136108002035,8,7,263.0
539,40210003071054,1,8,263.0
540,40210003071054,8,3,263.0
541,40210016002034,2,1,263.0
542,40210016001032,2,1,263.0
543,40190003002044,4,2,263.0
544,40190046251011,1,4,263.0
545,40134206041007,3,6,263.0
546,40131091011013,5,9,263.0
547,40133197051006,5,3,263.0
549,40131056023003,6,9,263.0
550,40133197091021,3,5,263.0
551,40138103001006,3,5,263.0
552,40210003202017,3,1,263.0
554,40130820122026,9,5,263.0
555,40210014064023,2,1,260.0
556,40138148012000,3,1,260.0
557,40138148012019,3,1,260.0
558,40210016001034,2,1,260.0
559,40210016001033,2,1,260.0
560,40130304011060,8,6,260.0
561,40219412002036,1,5,260.0
562,40159548012065,8,2,260.0
563,40159548024360,2,8,260.0
564,40159548024361,2,8,260.0
565,40159548021352,2,8,260.0
566,40130820102004,9,5,260.0
567,40130820102021,9,5,260.0
568,40190043302009,2,4,260.0
569,40133197091020,3,5,260.0
570,40130820212010,9,5,260.0
571,40130506202047,2,5,260.0
572,40210016002032,2,1,260.0
573,40130405352001,8,7,260.0
575,40130405393035,8,2,260.0
576,40130405393034,8,2,260.0
577,40138114004001,5,3,260.0
578,40134211023001,6,3,260.0
579,40137233041092,5,2,260.0
580,40131075002007,6,9,260.0
581,40133191032008,6,3,260.0
582,40130405394052,8,2,260.0
583,40136100022061,8,7,260.0
584,40136107001054,8,7,260.0
585,40130506203167,2,9,260.0
586,40136169002013,6,7,260.0
587,40130405394072,8,2,260.0
588,40138116002012,5,3,260.0
589,40159514014025,2,8,260.0
590,40130405382044,7,2,260.0
591,40130405241000,7,2,260.0
592,40130101021169,8,6,260.0
593,40210022002100,1,8,260.0
594,40136105004025,8,7,260.0
595,40135231023010,1,5,260.0
596,40130506123014,9,5,260.0
597,40130506133001,9,5,260.0
598,40210021061147,2,1,260.0
599,40134208004002,6,3,260.0
600,40135231023014,1,5,260.0
601,40190045131014,4,2,242.0
602,40130719031011,7,9,242.0
604,40131071021014,9,5,242.0
605,40131123021012,5,9,242.0
606,40134201101017,3,8,242.0
607,40130820251032,5,9,242.0
608,40130101032001,6,8,242.0
609,40190044192000,2,1,242.0
610,40190043232001,4,2,242.0
611,40139805001001,1,5,242.0
612,40139805001006,1,5,242.0
613,40190044313000,2,1,242.0
614,40190046482047,1,2,242.0
615,40131169001015,5,9,242.0
616,40130506203152,2,5,242.0
617,40190043273025,2,4,242.0
618,40130820222005,5,9,242.0
619,40130820222002,5,9,242.0
620,40136108002048,8,7,242.0
622,40130614022002,5,9,242.0
623,40130820212005,9,5,242.0
624,40130101021146,8,6,242.0
626,40190043302006,2,4,242.0
627,40210008021242,1,2,242.0
628,40190045141022,4,2,242.0
629,40131152001011,9,3,242.0
630,40130506174079,5,2,242.0
631,40219413001161,5,1,242.0
632,40138155012018,1,3,242.0
633,40131138006019,9,3,242.0
635,40131152001012,9,3,242.0
636,40134211022008,3,6,242.0
637,40210015001020,2,1,242.0
640,40138154011007,1,3,242.0
641,40190046142008,4,1,242.0
643,40134213025000,3,6,242.0
644,40130719062012,7,9,242.0
645,40138148012020,3,1,242.0
646,40138148012021,3,1,242.0
649,40210008023212,1,2,242.0
650,40159548024362,2,8,242.0
654,40136108002034,8,7,242.0
655,40130101031002,6,8,242.0
657,40134201101000,3,8,242.0
658,40131096042003,9,5,242.0
659,40210021061146,2,1,238.0
662,40130506121021,9,5,238.0
663,40130506121018,9,5,238.0
664,40130506121037,5,9,238.0
665,40131056012017,9,6,238.0
666,40131056012018,6,9,238.0
667,40131060011003,9,6,238.0
669,40131091012007,9,5,238.0
671,40131042123002,6,7,238.0
672,40133198011000,5,3,238.0
673,40133190022002,3,9,238.0
675,40133199081023,3,5,238.0
676,40138105001000,3,5,238.0
677,40131042223015,7,9,238.0
678,40131042223018,7,9,238.0
680,40130610433025,9,7,238.0
681,40130610433030,9,7,238.0
682,40130506203111,2,5,238.0
683,40130506162000,2,5,238.0
684,40210008021221,1,2,238.0
685,40210021071005,1,2,238.0
686,40131121003002,9,5,238.0
687,40130610533002,5,9,238.0
688,40131036111002,6,7,238.0
689,40210014063001,2,1,238.0
690,40210014064049,2,1,238.0
693,40130506201008,2,5,238.0
694,40134204024004,3,6,238.0
695,40138154011009,3,1,238.0
696,40130506174078,5,2,238.0
697,40210008021217,1,2,238.0
698,40130927202001,5,9,238.0
